,mean,amplitude,rms,duration,number_of_peaks,zero_crossing_rate,peak-to-peak_value,peaks_mean,peaks_standard_deviation,Train label
57,105.23627425890383,1893.7133333333331,200.46209637677876,1563,17,13,1727.253333333333,528.1347058823529,454.68901310167035,4
58,155.46098065083555,1178.2466666666667,224.39737106311657,758,8,9,913.7366666666667,743.4066666666666,358.65202618043764,4
59,15.930597552195827,108.48666666666668,17.618748685944816,463,9,1,82.09666666666665,48.17666666666666,22.477083748279274,6
60,132.36024289099527,669.2033333333334,100.17780598768785,1688,31,33,453.9766666666667,335.3589247311828,99.16873141570417,4
61,111.91135865845311,1249.8133333333333,137.66017066369275,1948,34,28,1061.1033333333332,372.4555882352941,216.1088900772146,4
62,75.23228924980664,361.4433333333333,85.97382112127627,431,9,7,236.13333333333333,248.89703703703702,65.94986295148472,2
63,277.8472282891316,1737.22,290.4983578657518,1923,36,42,1262.6533333333334,883.4983333333333,296.29995391776,4
64,93.71573703366697,816.34,100.07485105635821,2198,43,26,669.5466666666667,268.55341085271317,132.3677220670267,4
65,18.917609942638624,128.26,21.400228038609644,523,13,1,96.90999999999998,52.986666666666665,25.997522334279616,6
66,193.7077313848295,2245.93,297.33814749470304,958,10,14,1857.2199999999998,844.3976666666665,547.5663172480165,4
67,398.35578790344454,3386.2833333333333,435.6215841718152,2458,43,52,2723.64,1237.6309302325583,631.0735217659429,4
68,136.88911777210885,1032.4466666666667,140.66249066495217,1568,31,33,799.9833333333333,399.7581720430107,192.87056792184157,4
69,30.272489959839355,272.39000000000004,47.741913691895256,581,5,3,177.49000000000007,178.9966666666667,65.29584254248762,6
70,51.75060606060606,486.6833333333334,60.654081947882645,539,10,3,398.3766666666667,164.966,120.95872225037948,3
71,110.47794663782224,1062.9133333333336,143.3719562846077,1849,23,21,889.0433333333336,445.7795652173912,211.2080176533718,4
72,52.71938812785388,320.56333333333333,64.74924813246854,365,7,4,233.31333333333333,165.01047619047617,86.48879564885337,5
73,133.20261624936126,1520.1599999999999,141.82390293117047,1957,33,38,1301.1299999999999,392.42323232323236,234.13642627050535,4
